id,handle,followers_count,friends_count,isProxy
0,"CNN",53415371,1101,0
1,"nytimes",49755035,813,0
2,"BarackObama",130132621,593389,0
3,"cnni",12167353,367,0
4,"washingtonpost",17810974,1692,0
5,"derspiegel",2779688,317,0
6,"NPR",8723907,68753,0
7,"zeitonline",2339760,41,0
8,"tagesschau",2988945,318,0
9,"TIME",18114830,503,0
10,"DollyParton",5278120,43,0
11,"politik_digital",18689,495,0
12,"anked",39932,2441,0
13,"lutzmache",3717,2648,0
14,"faznet",651003,318,0
15,"StZ_NEWS",131131,1002,0
16,"SWRAktuellBW",71968,784,0
17,"a_watch",71219,2928,0
18,"anncathrin87",9517,2823,0
19,"ZDF",1287013,404,0
20,"SZ",1707407,422,0
21,"AOC",12686419,3177,0
22,"DoroBaer",101920,3302,0
23,"hdm_stgt",4081,49,0
24,"TheDailyShow",9469964,914,0
25,"digiges",68884,110,0
26,"KUVOJazz",2870,1990,0
27,"banana_johannah",1443,2499,0
28,"schwarzblond",29183,1897,0
29,"MichelleObama",20537711,15,0
30,"D64eV",14011,231,0
31,"amtzweinull",6762,2526,0
32,"FKyaw",947,2015,0
33,"sandhu_hdm",554,13,0
34,"HeikeSpecht",1465,1652,0
35,"aidabaghernejad",3604,2036,0
36,"femInsist",14659,937,0
37,"methodenkritik",2563,1776,0
38,"MaijaSalven",303,485,0
39,"lottanordkind",570,334,0
40,"ZDFheute",733025,318,0
41,"NCC7465Defiant",37,318,0
42,"linn_la_s",2794,1177,0
43,"ASteverding",3591,982,0
44,"aktionluftsprng",163,47,0
45,"fsacksofsky",5404,956,0
46,"TheAmandaGorman",1598901,623,0
47,"feministconlaw",5388,2443,0
48,"riffreporter",11361,6291,0
49,"janafeinsinnig",41,124,0
50,"tippeltwohl",294,299,0
51,"Bitkom_Politik",2124,2548,0
52,"ashley_eagan",365,1463,0
53,"plonka_sarah",38,146,0
54,"50J_Wahlrecht",1529,1069,0
55,"WhiteHouse",5079630,5,0
56,"YandR_Berlin",1161,583,0
57,"derya_tn",15864,2255,0
58,"ffpublishers",15,19,0
59,"pat_spengler",153,294,0
60,"GretaThunberg",4976587,2466,0
61,"Frauenleben1",264,200,0
62,"degepolCOM",2308,3459,0
63,"IngaKarten",206,336,0
64,"simultorian",1193,886,0
65,"gd_women",14360,4016,0
66,"PappritzOnTour",287,1,0
67,"Herstory_pod",5108,526,0
68,"degepolW",605,599,0
69,"hdm_crpr",216,56,0
70,"edit_magazin",383,222,0
71,"RiffZukunft",1215,517,0
72,"KM_BW",15160,477,0
73,"POTUS",9715909,12,0